,id,miles,price,state,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain,brand,model
723,698921867,39477,44530,WA,2014,4.0,1,auto,AWD,Phantom Black Pearl Effect,Black,Certified 2014 Audi A8 4.0T,8-Speed Automatic w/OD | AWD,Audi,A8
724,698621230,40929,40889,MO,2013,4.0,0,auto,AWD,Glacier White Metallic,Black,Used 2013 Audi A8 4.0T,8-Speed Automatic | AWD,Audi,A8
725,697515346,44588,41780,CA,2014,3.0,1,auto,AWD,Black,Black,Certified 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
726,695451366,52913,16995,AZ,2008,4.2,0,auto,AWD,Black,Black,Used 2008 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
727,698151119,4418,61900,SC,2016,3.0,0,auto,AWD,Mythos Black Metallic,Black,Used 2016 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
728,690672293,9459,56000,UT,2015,3.0,0,auto,AWD,Silver,Black,Used 2015 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
729,690564393,19222,47900,MA,2014,3.0,1,auto,AWD,Glacier White Metallic,Velvet Beige,Certified 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
730,612789905,39000,32394,CO,2011,4.2,0,auto,AWD,Black,,Used 2011 Audi A8 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
731,699834911,39866,38236,AR,2013,3.0,0,auto,AWD,Ibis White,Black,Used 2013 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
732,694561030,42066,41995,MI,2014,3.0,0,auto,AWD,Phantom Black Pearl,Black,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
733,684926113,42441,43950,CO,2014,4.0,0,auto,AWD,Phantom Black Pearl,Black,Used 2014 Audi A8 4.0T,8-Speed Automatic | AWD,Audi,A8
734,696312694,48968,32988,MA,2011,4.2,0,auto,AWD,Ice Silver Metallic,Nougat Brown,Used 2011 Audi A8 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
735,699958832,50113,30900,AZ,2011,4.2,0,auto,AWD,Quartz Gray Metallic,Black,Used 2011 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
736,699563028,53606,29975,IL,2011,4.2,0,auto,AWD,Black,Black,Used 2011 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
737,689089243,67000,28000,CA,2009,,0,auto,AWD,Black,Tan,Used 2009 Audi A8 W12 quattro,Black (ext) | Tan (int),Audi,A8
738,700421558,99000,24900,PA,2011,4.2,0,auto,AWD,Black,Black,Used 2011 Audi A8 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
739,694337480,108967,9000,WI,2004,4.2,0,auto,AWD,Gray,Platinum,Used 2004 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
740,689253899,126396,5977,CA,2005,4.2,0,auto,AWD,Platinum Beige Pearl,Sand Beige,Used 2005 Audi A8 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
741,699165027,137075,8995,AZ,2007,4.2,0,auto,AWD,Gray,Gray,Used 2007 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
742,697294043,8915,57980,CA,2016,3.0,0,auto,AWD,Mythos Black Metallic,Black,Used 2016 Audi A8 L 3.0T,Automatic with Tiptronic | AWD,Audi,A8
743,693623348,23661,47995,SC,2015,3.0,0,auto,AWD,Ibis White,Black,Used 2015 Audi A8 L 3.0T,8-Speed Automatic w/OD | AWD,Audi,A8
744,698694980,27684,46997,MI,2014,3.0,0,auto,AWD,Ibis White,,Used 2014 Audi A8 3.0T,8-Speed Automatic | AWD,Audi,A8
