,id,miles,price,state,year,capacity,Certified,brand,model,gearbox,dwheel,ext,int,name,powertrain
277,699242796,35896,15994,NY,2014,2.0,1,Acura,ILX,auto,FWD,Silver Moon,Ebony,Certified 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
278,700086637,35916,19980,CA,2016,,1,Acura,ILX,auto,FWD,Bellanova White Pearl,Parchment,Certified 2016 Acura ILX,8-Speed Automatic with Auto-Shift | FWD
279,697757016,35930,16995,CA,2014,2.0,0,Acura,ILX,auto,FWD,Polished Metal Metallic,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
280,696334230,35962,15710,OH,2014,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
281,698857489,35969,16400,NJ,2014,2.0,0,Acura,ILX,auto,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
282,700687967,35981,15946,VA,2014,2.0,0,Acura,ILX,auto,FWD,Black,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
283,700274097,35985,18499,CA,2014,2.0,1,Acura,ILX,auto,FWD,Bellanova White Pearl,Ebony,Certified 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
284,683599715,36087,16995,MD,2014,2.0,0,Acura,ILX,auto,FWD,Fathom Blue Pearl,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
285,698152908,36142,18298,WA,2013,2.0,0,Acura,ILX,auto,FWD,Gray,,Used 2013 Acura ILX 2.0L,Automatic | FWD
286,698811655,36181,16382,FL,2014,2.0,0,Acura,ILX,auto,FWD,White,Tan,Used 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD
287,695557039,36284,15923,MA,2013,2.0,0,Acura,ILX,auto,FWD,Bellanova White Pearl,Parchment,Used 2013 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
288,693297194,36318,14930,GA,2013,2.0,1,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Certified 2013 Acura ILX 2.0L,5-Speed Automatic | FWD
289,691620905,36479,14499,PA,2014,2.0,0,Acura,ILX,auto,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
