,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int
41,697745197,39096,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,25982,CA,BMW,5,2014,,1,auto,RWD,Gray,Black
42,700114686,42664,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,26981,CA,BMW,5,2014,,1,auto,RWD,Alpine White,Black
43,699887906,45527,Used 2012 BMW 528 i xDrive,8-Speed Automatic | AWD,23567,CO,BMW,5,2012,,0,auto,AWD,Alpine White,Black
44,699075436,56075,Used 2012 BMW 528 i,8-Speed Automatic | RWD,21499,NC,BMW,5,2012,,0,auto,RWD,Metallic,Black
45,694258169,77735,Used 2013 BMW 528 i xDrive,8-Speed Automatic | AWD,20973,CO,BMW,5,2013,,0,auto,AWD,Space Gray Metallic,Black
46,688867754,5691,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,41990,MO,BMW,5,2016,,0,auto,AWD,Mineral White Metallic,Black
47,696423543,10436,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,42990,MO,BMW,5,2016,,1,auto,AWD,Alpine White,Black
48,690446012,16199,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,34990,MO,BMW,5,2016,,0,auto,AWD,Jet Black,Black
49,698343483,19277,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,29982,CA,BMW,5,2014,,1,auto,RWD,Black,Beige
50,700537850,29355,Used 2014 BMW 528 i,8-Speed Automatic | RWD,33697,GA,BMW,5,2014,,0,auto,RWD,Jet Black,Black
51,698403356,29438,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,27482,CA,BMW,5,2014,,1,auto,RWD,Black,Black
52,697850846,35853,Used 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,30999,ID,BMW,5,2015,,0,auto,AWD,White,Black
53,699538844,44759,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,27981,CA,BMW,5,2014,,1,auto,RWD,Black,Black
54,699286658,17698,Certified 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,36561,CO,BMW,5,2015,,1,auto,AWD,Jet Black,Venetian Beige
55,700113969,26651,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,29981,CA,BMW,5,2014,,1,auto,RWD,Jet Black,Black
56,699020825,30021,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,28482,CA,BMW,5,2014,,1,auto,RWD,Black,Black
