,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int
0,696259059,33250,Used 2014 INFINITI Q50 Hybrid Premium,7-Speed Automatic | RWD,22887,FL,infinity,Q50,2014,,0,auto,RWD,Graphite Shadow,Graphite
1,695301177,24849,Used 2015 INFINITI Q50 Base,7-Speed Automatic | RWD,23986,TN,infinity,Q50,2015,,0,auto,RWD,Hagane Blue,Graphite
2,695835172,24310,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | RWD,23592,AZ,infinity,Q50,2014,,0,auto,RWD,Malbec Black,Graphite
3,692054759,34724,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,23000,CT,infinity,Q50,2014,,0,auto,AWD,Liquid Platinum,Black
4,698844624,1212,Certified 2016 INFINITI Q50 3.0t Red Sport 400,7-Speed Automatic | AWD,43992,OH,infinity,Q50,2016,3.0,1,auto,AWD,Gun Metallic,Graphite
5,700055834,12836,Certified 2016 INFINITI Q50 3.0t Red Sport 400,7-Speed Automatic | AWD,44991,OH,infinity,Q50,2016,3.0,1,auto,AWD,Majestic White,Graphite
6,699875131,46417,Certified 2014 INFINITI Q50 Base,7-Speed Automatic | AWD,22251,OH,infinity,Q50,2014,,1,auto,AWD,Black Obsidian,Graphite
7,695779561,47242,Used 2015 INFINITI Q50 Premium,7-Speed Automatic | AWD,24500,OH,infinity,Q50,2015,,0,auto,AWD,Graphite Shadow,Graphite
8,697830964,12899,Certified 2015 INFINITI Q50 Premium,7-Speed Automatic | AWD,29985,VA,infinity,Q50,2015,,1,auto,AWD,Moonlight White,Graphite
9,689460377,16037,Certified 2015 INFINITI Q50 Premium,7-Speed Automatic | RWD,29987,TX,infinity,Q50,2015,,1,auto,RWD,Moonlight White,
10,688968511,14564,Certified 2015 INFINITI Q50 Hybrid Sport,7-Speed Automatic | RWD,29987,TX,infinity,Q50,2015,,1,auto,RWD,Moonlight White,
11,697830968,14644,Certified 2015 INFINITI Q50 Premium,7-Speed Automatic | AWD,30400,VA,infinity,Q50,2015,,1,auto,AWD,Venetian Ruby,Graphite
12,689988053,54625,Certified 2014 INFINITI Q50 Hybrid Premium,7-Speed Automatic | RWD,21987,TX,infinity,Q50,2014,,1,auto,RWD,Moonlight White,
13,683930302,6417,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,24888,NY,infinity,Q50,2014,,0,auto,AWD,Liquid Platinum,
14,699295344,3514,Certified 2015 INFINITI Q50 Premium,7-Speed Automatic | AWD,32985,VA,infinity,Q50,2015,,1,auto,AWD,Black Obsidian,Stone
15,699154586,8564,Certified 2016 INFINITI Q50 2.0T Premium,7-Speed Automatic | AWD,29985,VA,infinity,Q50,2016,2.0,1,auto,AWD,Gun Metallic,Graphite
16,699154584,13766,Certified 2015 INFINITI Q50 Premium,7-Speed Automatic | AWD,29885,VA,infinity,Q50,2015,,1,auto,AWD,Moonlight White,Graphite
17,699154439,14116,Certified 2015 INFINITI Q50 Premium,7-Speed Automatic | AWD,29485,VA,infinity,Q50,2015,,1,auto,AWD,Moonlight White,Graphite
18,699154556,14332,Certified 2016 INFINITI Q50 2.0T Premium,7-Speed Automatic | AWD,28485,VA,infinity,Q50,2016,2.0,1,auto,AWD,Majestic White,Graphite
19,699154542,14785,Certified 2015 INFINITI Q50 Premium,7-Speed Automatic | AWD,29485,VA,infinity,Q50,2015,,1,auto,AWD,Moonlight White,Graphite
20,699154546,14898,Certified 2015 INFINITI Q50 Premium,7-Speed Automatic | AWD,28985,VA,infinity,Q50,2015,,1,auto,AWD,Liquid Platinum,Graphite
21,686972934,19025,Certified 2015 INFINITI Q50 Sport,7-Speed Automatic | AWD,33695,VA,infinity,Q50,2015,,1,auto,AWD,Moonlight White,Stone
22,696189189,29840,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,23893,NC,infinity,Q50,2014,,0,auto,AWD,Moonlight White,
23,699782566,48057,Certified 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,24885,VA,infinity,Q50,2014,,1,auto,AWD,Hagane Blue,Graphite
24,699154558,15603,Used 2016 INFINITI Q50 3.0T Premium,7-Speed Automatic w/OD | AWD,28977,IL,infinity,Q50,2016,3.0,0,auto,AWD,Gray,
25,699154573,18127,Certified 2015 INFINITI Q50 Premium,7-Speed Automatic | AWD,28985,VA,infinity,Q50,2015,,1,auto,AWD,Moonlight White,Graphite
26,698804350,29711,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,25600,NY,infinity,Q50,2014,,0,auto,AWD,Liquid Platinum,Graphite
27,700010975,9407,Used 2016 INFINITI Q50 3.0t Red Sport 400,7-Speed Automatic w/OD | AWD,46777,IL,infinity,Q50,2016,3.0,0,auto,AWD,Blue,Black
28,699154548,9571,Used 2016 INFINITI Q50 3.0T Premium,7-Speed Automatic w/OD | AWD,32977,IL,infinity,Q50,2016,3.0,0,auto,AWD,Majestic White,
29,700007594,6010,Used 2016 INFINITI Q50 3.0t Red Sport 400,7-Speed Automatic w/OD | AWD,46877,IL,infinity,Q50,2016,3.0,0,auto,AWD,Black,Gray
30,700205362,13990,Used 2015 INFINITI Q50,7-Speed Automatic w/OD | AWD,32777,IL,infinity,Q50,2015,,0,auto,AWD,Silver,Black
31,700010881,17110,Used 2015 INFINITI Q50,7-Speed Automatic w/OD | AWD,34377,IL,infinity,Q50,2015,,0,auto,AWD,Red,Gray
32,698411241,18902,Certified 2014 INFINITI Q50,7-Speed Automatic w/OD | AWD,29477,IL,infinity,Q50,2014,,1,auto,AWD,Black,
33,699371078,19424,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,25980,IL,infinity,Q50,2014,,0,auto,AWD,Graphite Shadow,Graphite
34,699447391,22566,Used 2014 INFINITI Q50,7-Speed Automatic w/OD | AWD,29377,IL,infinity,Q50,2014,,0,auto,AWD,Silver,Black
35,698938537,24796,Used 2015 INFINITI Q50 Premium,7-Speed Automatic | RWD,27484,WA,infinity,Q50,2015,,0,auto,RWD,Black Obsidian,Graphite
36,696084442,28970,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,23999,NJ,infinity,Q50,2014,,0,auto,AWD,Black Obsidian,Graphite
37,700205420,32934,Used 2015 INFINITI Q50,7-Speed Automatic w/OD | AWD,31777,IL,infinity,Q50,2015,,0,auto,AWD,Silver,Black
38,698318845,47477,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,23247,MN,infinity,Q50,2014,,0,auto,AWD,Liquid Platinum,Black
39,699154536,11775,Certified 2016 INFINITI Q50 2.0T Premium,7-Speed Automatic | AWD,28985,VA,infinity,Q50,2016,2.0,1,auto,AWD,Black,Graphite
40,696414132,17658,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,26492,AZ,infinity,Q50,2014,,0,auto,AWD,Chestnut Bronze,Stone
41,697465103,18450,Used 2014 INFINITI Q50 Hybrid Premium,7-Speed Automatic | AWD,28991,IA,infinity,Q50,2014,,0,auto,AWD,Black Obsidian,Graphite
42,699298516,22020,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,26491,IA,infinity,Q50,2014,,0,auto,AWD,Black Obsidian,Wheat
43,700205361,25986,Used 2015 INFINITI Q50,7-Speed Automatic w/OD | AWD,32977,IL,infinity,Q50,2015,,0,auto,AWD,Silver,Gray
44,698130741,33254,Certified 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,26000,VA,infinity,Q50,2014,,1,auto,AWD,Moonlight White,Stone
45,697670362,35487,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | AWD,22740,GA,infinity,Q50,2014,,0,auto,AWD,Graphite Shadow,Graphite
46,695876758,44854,Used 2014 INFINITI Q50 Base,7-Speed Automatic | RWD,20000,OK,infinity,Q50,2014,,0,auto,RWD,Black Obsidian,Stone
47,699098016,8515,Used 2016 INFINITI Q50,7-Speed Automatic w/OD | AWD,27977,IL,infinity,Q50,2016,,0,auto,AWD,Black Obsidian,
48,697469558,12220,Used 2015 INFINITI Q50 Hybrid Sport,7-Speed Automatic | AWD,34985,OR,infinity,Q50,2015,,0,auto,AWD,Liquid Platinum,Graphite
49,699249253,16466,Certified 2015 INFINITI Q50,7-Speed Automatic | RWD,27400,FL,infinity,Q50,2015,,1,auto,RWD,Black Obsidian,Black
50,700302476,29822,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | RWD,24900,FL,infinity,Q50,2014,,0,auto,RWD,Graphite Shadow,Black
51,699682907,32374,Certified 2014 INFINITI Q50,7-Speed Automatic w/OD | AWD,26988,IL,infinity,Q50,2014,,1,auto,AWD,White,
52,700221693,33060,Used 2014 INFINITI Q50 Sport,7-Speed Automatic | RWD,26870,TX,infinity,Q50,2014,,0,auto,RWD,Hagane Blue,Graphite
53,700239672,33060,Used 2014 INFINITI Q50 Sport,7-Speed Automatic | RWD,26870,TX,infinity,Q50,2014,,0,auto,RWD,Hagane Blue,Graphite
54,700238853,33060,Used 2014 INFINITI Q50 Sport,7-Speed Automatic | RWD,26870,TX,infinity,Q50,2014,,0,auto,RWD,Hagane Blue,Graphite
55,698095459,33278,Used 2014 INFINITI Q50 Premium,7-Speed Automatic | RWD,24995,TX,infinity,Q50,2014,,0,auto,RWD,Moonlight White,Stone
56,693152680,37569,Used 2014 INFINITI Q50 Hybrid Sport,7-Speed Automatic | RWD,25998,CA,infinity,Q50,2014,,0,auto,RWD,Venetian Ruby,Graphite
