,id,miles,price,state,brand,model,year,capacity,Certified,dwheel,gearbox,ext,int,name,powertrain
139,700087782,2284,41444,VA,Audi,A4,2017,2.0,1,FWD,auto,Scuba Blue Metallic,Black,Certified 2017 Audi A4 2.0T ultra Premium,7-Speed Automatic with Auto-Shift | FWD
140,694911604,2286,36288,FL,Audi,A4,2017,2.0,1,FWD,auto,Florett Silver Metallic,Rock Gray,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD
141,698177697,2432,33988,FL,Audi,A4,2017,2.0,1,FWD,auto,Ibis White,Atlas Beige / Black,Certified 2017 Audi A4 2.0T ultra Premium,Automatic | FWD
142,689178682,2541,40999,OH,Audi,A4,2017,2.0,0,AWD,auto,Ibis White,Black,Used 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
143,699836370,2547,36998,CA,Audi,A4,2017,2.0,0,FWD,auto,Monsoon Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium,7-Speed Automatic with Auto-Shift | FWD
144,694432254,2571,33385,AR,Audi,A4,2017,2.0,0,FWD,auto,Manhattan Gray Metallic,Rock Gray / Black,Used 2017 Audi A4 2.0T Premium,7-Speed Automatic with Auto-Shift | FWD
145,699935169,2690,33988,FL,Audi,A4,2017,2.0,0,FWD,auto,Ibis White,Atlas Beige / Black,Used 2017 Audi A4 2.0T ultra Premium,Automatic | FWD
146,698317369,2959,40986,VA,Audi,A4,2017,2.0,0,AWD,auto,Glacier White Metallic,Rock Gray,Used 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
147,685750431,2970,37680,OH,Audi,A4,2017,2.0,1,AWD,auto,Monsoon Gray Metallic,Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
148,692147165,2983,34450,UT,Audi,A4,2016,2.0,0,AWD,auto,Monsoon Gray Metallic,Black,Used 2016 Audi A4 2.0T Premium Plus,8-Speed Automatic | AWD
149,698007548,3059,43000,CO,Audi,A4,2017,2.0,1,FWD,auto,Manhattan Gray Metallic,Black,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | FWD
150,696231906,3070,38488,FL,Audi,A4,2017,2.0,1,AWD,auto,Brilliant Black,Atlas Beige / Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
151,696333729,3118,38504,MI,Audi,A4,2017,2.0,0,AWD,auto,Mythos Black Metallic,Black,Used 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
152,700263161,3301,33509,IL,Audi,A4,2016,2.0,0,AWD,auto,Brilliant Black,Black,Used 2016 Audi A4 2.0T Premium quattro,8-Speed Automatic | AWD
153,689178479,3306,40989,OH,Audi,A4,2017,2.0,0,AWD,auto,Ibis White,Black,Used 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
154,692768119,3431,32887,FL,Audi,A4,2017,2.0,1,FWD,auto,Brilliant Black,Black,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD
155,696937612,3485,37500,FL,Audi,A4,2017,2.0,1,AWD,auto,Brilliant Black,Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
156,698874544,3498,39977,MN,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
157,700405574,3505,46660,MA,Audi,A4,2017,2.0,1,AWD,auto,Manhattan Gray Metallic,Nougat Brown / Black,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
158,699146367,3507,31900,FL,Audi,A4,2017,2.0,1,FWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T ultra Premium,Automatic | FWD
159,699431358,3556,31900,FL,Audi,A4,2017,2.0,1,FWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T ultra Premium,Automatic | FWD
160,696270008,3609,27899,NV,Audi,A4,2016,2.0,0,AWD,auto,Black,,Used 2016 Audi A4 2.0T Premium Plus,8-Speed Automatic | AWD
161,694912581,3685,35988,FL,Audi,A4,2017,2.0,1,FWD,auto,Florett Silver Metallic,Rock Gray,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD
162,690560550,3694,37368,NY,Audi,A4,2017,2.0,0,AWD,auto,Monsoon Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
163,690355133,3698,36995,NY,Audi,A4,2017,2.0,0,AWD,auto,Manhattan Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
164,698679757,3809,31947,NC,Audi,A4,2017,2.0,0,FWD,auto,Ibis White,Black,Used 2017 Audi A4 2.0T Premium,7-Speed Automatic with Auto-Shift | FWD
165,700258702,3830,29995,MA,Audi,A4,2016,2.0,0,AWD,auto,Ibis White,Black,Used 2016 Audi A4 2.0T Premium quattro,8-Speed Automatic | AWD
166,699969419,3877,42686,CO,Audi,A4,2017,2.0,1,AWD,auto,Cuvee Silver Metallic,Nougat Brown / Black,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
167,699605954,3941,37888,IL,Audi,A4,2017,2.0,1,AWD,auto,Monsoon Gray Metallic,Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
168,696866578,4028,41950,PA,Audi,A4,2017,,0,AWD,auto,Ibis White,Nougat Brown/Black,Used 2017 Audi A4 Premium Plus,Automatic | AWD
169,698117399,4120,49860,MA,Audi,A4,2017,2.0,1,AWD,auto,Manhattan Gray Metallic,Black,Certified 2017 Audi A4 2.0T Prestige,Automatic | AWD
170,695575609,4122,42950,FL,Audi,A4,2017,2.0,0,AWD,auto,Ibis White,Nougat Brown / Black,Used 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
171,692879170,4128,44987,OH,Audi,A4,2017,2.0,0,AWD,auto,Mythos Black Metallic,Black,Used 2017 Audi A4 2.0T Prestige quattro,Automatic | AWD
172,697520590,4146,39255,PA,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
173,696586464,4168,36000,CA,Audi,A4,2017,2.0,1,FWD,auto,Scuba Blue Metallic,Black,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | FWD
174,699956293,4192,51989,IL,Audi,A4,2017,2.0,1,AWD,auto,Mythos Black Metallic,Black,Certified 2017 Audi A4 2.0T Prestige,Automatic | AWD
175,685647247,4196,46800,MA,Audi,A4,2017,2.0,1,AWD,auto,Gotland Green Metallic,Rock Gray,Certified 2017 Audi A4 2.0T Prestige,Automatic | AWD
176,694826706,4233,40997,CT,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
177,698179435,4260,38888,IL,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
178,686770935,4352,35780,DE,Audi,A4,2016,2.0,0,AWD,auto,Florett Silver Metallic,Black,Used 2016 Audi A4 2.0T Premium Plus,8-Speed Automatic | AWD
179,698007553,4372,43000,CO,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
180,683397814,4400,44999,OH,Audi,A4,2017,2.0,0,AWD,auto,Brilliant Black,Black,Used 2017 Audi A4 2.0T Prestige quattro,Automatic | AWD
181,696827697,4424,41333,NJ,Audi,A4,2017,2.0,1,AWD,auto,Brilliant Black,Black,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
182,699558681,4509,37000,NJ,Audi,A4,2017,2.0,0,AWD,auto,Argus Brown Metallic,Black,Used 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
183,699897872,4515,37000,OR,Audi,A4,2017,2.0,0,AWD,auto,Florett Silver Metallic,Black,Used 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
184,698831089,4548,37000,NY,Audi,A4,2017,2.0,0,AWD,auto,Ibis White,Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
