,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
703,689978516,49020,30988,NJ,Audi,A6,2014,3.0,1,auto,AWD,Havanna Black Metallic,Nougat Brown,Certified 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
704,697837592,49295,28988,NJ,Audi,A6,2014,2.0,1,auto,AWD,Havanna Black Metallic,Black,Certified 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
705,697892106,49295,28988,NJ,Audi,A6,2014,2.0,0,auto,AWD,Havanna Black Metallic,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
706,697274008,49421,25999,GA,Audi,A6,2014,2.0,0,auto,AWD,Brilliant Black,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
707,694175521,49459,24994,MD,Audi,A6,2014,2.0,1,auto,AWD,Brilliant Black,Black,Certified 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
708,679649545,49480,17999,NV,Audi,A6,2010,3.0,0,auto,AWD,Blue,Cardamom Beige,Used 2010 Audi A6 3.0 Premium Plus quattro,6-Speed Automatic | AWD
709,681142178,49606,25999,CA,Audi,A6,2014,2.0,0,auto,AWD,Gray,Titanium Gray,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
710,691725118,49633,24997,TX,Audi,A6,2014,2.0,0,auto,AWD,Quartz Gray Metallic,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
711,696243053,49976,27988,NJ,Audi,A6,2014,2.0,1,auto,AWD,Phantom Black Pearl,Velvet Beige,Certified 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
712,696294875,49976,27988,NJ,Audi,A6,2014,2.0,0,auto,AWD,Phantom Black Pearl,Velvet Beige,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
713,700404847,49987,23900,VA,Audi,A6,2015,2.0,0,auto,AWD,Black,Black,Used 2015 Audi A6 2.0T Premium quattro,8-Speed Automatic | AWD
714,698154629,50002,28917,NJ,Audi,A6,2015,2.0,0,auto,AWD,Moonlight Blue Metallic,Nougat Brown,Used 2015 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
715,676493765,50126,38400,MA,Audi,A6,2015,3.0,0,auto,AWD,Moonlight Blue Metallic,Velvet Beige,Used 2015 Audi A6 3.0T Prestige quattro,8-Speed Automatic | AWD
716,699277440,50178,32490,MD,Audi,A6,2014,3.0,0,auto,AWD,Gray,,Used 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
717,691810689,50191,22984,AL,Audi,A6,2014,2.0,0,auto,FWD,Gray,Black,Used 2014 Audi A6 2.0T Premium Plus,Automatic CVT | FWD
718,692675430,50406,28750,TN,Audi,A6,2014,3.0,0,auto,AWD,Moonlight Blue Metallic,Velvet Beige,Used 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
719,690563436,50441,22799,CA,Audi,A6,2013,2.0,0,auto,AWD,Brilliant Black,Black,Used 2013 Audi A6 2.0T Premium Plus,8-Speed Automatic | AWD
720,698718813,50487,27999,GA,Audi,A6,2015,2.0,0,auto,AWD,Gray,Black,Used 2015 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
721,698424643,50500,29800,MA,Audi,A6,2013,3.0,0,auto,AWD,Aviator Blue Metallic,Titanium Gray,Used 2013 Audi A6 3.0T Prestige quattro,8-Speed Automatic | AWD
722,700596908,50665,29572,TN,Audi,A6,2014,3.0,0,auto,AWD,Gray,Black,Used 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
723,692993173,50719,29998,IL,Audi,A6,2014,3.0,1,auto,AWD,Phantom Black Pearl,Black,Certified 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
724,699872508,50758,28990,CT,Audi,A6,2014,3.0,1,auto,AWD,Brilliant Black,Black,Certified 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
725,692147437,50779,25995,OH,Audi,A6,2014,2.0,1,auto,AWD,Moonlight Blue Metallic,Velvet Beige,Certified 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
726,692456032,50864,22333,CA,Audi,A6,2014,2.0,0,auto,FWD,Brilliant Black,Black,Used 2014 Audi A6 2.0T Premium Plus,Automatic CVT | FWD
727,696783867,50878,28997,UT,Audi,A6,2014,3.0,0,auto,AWD,Brilliant Black,Black,Used 2014 Audi A6 3.0T Prestige quattro,8-Speed Automatic | AWD
728,697423107,51057,22960,AZ,Audi,A6,2012,3.0,0,auto,AWD,Ibis White,Nougat Brown,Used 2012 Audi A6 3.0T Prestige quattro,8-Speed Automatic | AWD
729,699902004,51103,19999,FL,Audi,A6,2012,2.0,0,auto,FWD,Quartz Gray Metallic,Black,Used 2012 Audi A6 2.0T Premium,Automatic CVT | FWD
730,698945866,51242,25794,IL,Audi,A6,2014,2.0,0,auto,AWD,Gray,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
731,696845410,51432,33988,GA,Audi,A6,2016,3.0,0,auto,AWD,Ibis White,Black,Used 2016 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
732,694401824,51555,29997,OH,Audi,A6,2014,3.0,1,auto,AWD,Havanna Black Metallic,Velvet Beige,Certified 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
733,693013520,51797,27245,IL,Audi,A6,2014,3.0,0,auto,AWD,Phantom Black Pearl Effect,Nougat Brown,Used 2014 Audi A6 3.0T Premium Plus,8-Speed Automatic w/OD | AWD
734,698435523,51974,26500,GA,Audi,A6,2014,3.0,0,auto,AWD,Aviator Blue Metallic,Nougat Brown,Used 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
735,697951027,51992,28782,AL,Audi,A6,2014,2.0,0,auto,AWD,Phantom Black Pearl,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
736,697831388,52108,25900,OH,Audi,A6,2014,2.0,0,auto,AWD,Moonlight Blue Metallic,Nougat Brown,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
737,688729749,52220,28500,NJ,Audi,A6,2014,3.0,0,auto,AWD,Moonlight Blue Metallic,Velvet Beige,Used 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
738,698424511,52332,20729,NC,Audi,A6,2012,2.0,0,auto,FWD,Ibis White,Velvet Beige,Used 2012 Audi A6 2.0T Premium,Automatic CVT | FWD
739,696669092,52489,23495,MA,Audi,A6,2012,3.0,0,auto,AWD,Gray,Titanium Gray,Used 2012 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
740,699533815,52525,25900,KS,Audi,A6,2014,2.0,0,auto,AWD,Moonlight Blue Metallic,Titanium Gray,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
741,698030775,52579,29900,NC,Audi,A6,2013,3.0,0,auto,AWD,Ibis White,Nougat Brown,Used 2013 Audi A6 3.0T Prestige quattro,8-Speed Automatic | AWD
742,693933487,52595,24900,IL,Audi,A6,2012,3.0,0,auto,AWD,Quartz Gray Metallic,Black,Used 2012 Audi A6 3.0T Prestige quattro,8-Speed Automatic | AWD
743,699470284,52633,25907,IL,Audi,A6,2013,3.0,0,auto|manual,AWD,Aviator Blue Metallic,Nougat Brown,Used 2013 Audi A6 3.0T Premium,8-Speed Automatic w/Manual Shift | AWD
744,681440988,52668,24288,TX,Audi,A6,2013,2.0,0,auto,FWD,Black,,Used 2013 Audi A6 2.0T Premium,Automatic CVT | FWD
745,697002231,52683,22499,PA,Audi,A6,2013,2.0,0,auto,AWD,Black,Black,Used 2013 Audi A6 2.0T Premium quattro,8-Speed Automatic | AWD
746,685294226,52745,23788,PA,Audi,A6,2014,2.0,0,auto,AWD,Quartz Gray Metallic,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
747,699347911,52762,21500,KS,Audi,A6,2012,3.0,0,auto,AWD,Aviator Blue Metallic,Velvet Beige,Used 2012 Audi A6 3.0T Premium quattro,8-Speed Automatic | AWD
748,699640815,52852,28995,GA,Audi,A6,2013,3.0,0,auto,AWD,Moonlight Blue Metallic,Nougat Brown,Used 2013 Audi A6 3.0T Premium quattro,8-Speed Automatic | AWD
749,699104182,52917,21900,GA,Audi,A6,2012,2.0,0,,FWD,Havanna Black Metallic,Black,Used 2012 Audi A6 2.0T Premium,1-Speed Continuously Variable Ratio | FWD
