,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
37,700287506,46149,24644,NY,Acura,TLX,2015,,1,auto,AWD,Black,Espresso,Certified 2015 Acura TLX V6 Tech,9-Speed Automatic | AWD
38,697369808,20,29995,NJ,Acura,TLX,2017,,1,auto|manual,FWD,Crystal Black Pearl,Ebony,Certified 2017 Acura TLX Tech,8-Speed Auto-Shift Manual w/OD | FWD
39,696932824,22,32900,NJ,Acura,TLX,2016,,0,auto,FWD,Black,Ebony,Used 2016 Acura TLX V6,9-Speed Automatic | FWD
40,677071481,24,29498,CA,Acura,TLX,2015,,0,auto,AWD,Silver,,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | AWD
41,690128737,34,29800,NJ,Acura,TLX,2016,,0,auto,FWD,Black Copper Pearl,Espresso,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
42,687018800,178,37000,NV,Acura,TLX,2015,,1,auto,FWD,Fathom Blue Pearl,Greystone,Certified 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD
43,696987925,322,31995,RI,Acura,TLX,2017,,0,auto,FWD,Bellanova White Pearl,Greystone,Used 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD
44,700173394,800,24500,NY,Acura,TLX,2015,,0,auto,FWD,Burgundy,Beige,Used 2015 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD
45,697627364,1558,37888,NC,Acura,TLX,2017,,0,auto,FWD,Lunar Silver Metallic,Ebony,Used 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD
46,700380394,1674,33991,IL,Acura,TLX,2016,,0,auto,FWD,Gray,Ebony,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD
47,686089786,1856,19499,CO,Acura,TLX,2015,,0,auto,FWD,Black,,Used 2015 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
48,696987917,1881,39995,RI,Acura,TLX,2017,,1,auto,AWD,Modern Steel Metallic,Ebony,Certified 2017 Acura TLX V6 Advance,9-Speed Automatic | AWD
49,700575683,2084,27980,RI,Acura,TLX,2017,,1,auto,FWD,Bellanova White Pearl,Greystone,Certified 2017 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
50,690898284,2379,29000,NJ,Acura,TLX,2015,,0,auto,FWD,Bellanova White Pearl,Greystone,Used 2015 Acura TLX V6,9-Speed Automatic | FWD
51,700317235,2664,31471,IL,Acura,TLX,2016,,0,auto,FWD,Gray,Ebony,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD
52,698108524,2774,28500,GA,Acura,TLX,2016,,0,auto,FWD,Bellanova White Pearl,Ebony,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD
53,696987888,3298,31980,RI,Acura,TLX,2016,,1,auto,FWD,Red,Parchment,Certified 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD
54,693858749,3367,31000,WV,Acura,TLX,2015,,0,auto,FWD,Black,Espresso,Used 2015 Acura TLX V6 Advance,9-Speed Automatic | FWD
55,698684120,3390,26551,CA,Acura,TLX,2016,,0,auto,FWD,Slate Silver Metallic,Ebony,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
56,697099498,3458,33980,PA,Acura,TLX,2016,,1,auto,AWD,Slate Silver,Graystone,Certified 2016 Acura TLX V6 Tech,9-Speed Automatic | AWD
57,699779837,3537,31995,TX,Acura,TLX,2017,,0,auto,FWD,Black Copper Pearl,Black,Used 2017 Acura TLX V6,9-Speed Automatic | FWD
58,697037667,3802,29450,VA,Acura,TLX,2017,,1,auto,FWD,Blue,Graystone,Certified 2017 Acura TLX Tech,Automatic | FWD
59,700206371,3925,30991,IL,Acura,TLX,2016,,0,auto,FWD,Gray,Ebony,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD
60,700324827,4049,38488,NC,Acura,TLX,2016,,0,auto,FWD,Crystal Black Pearl,Graystone,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD
