,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,strange_pt2,gearbox,dwheel,ext,int
3228,689537793,44068,Used 2012 Lexus IS 250 Base,6-Speed Automatic | AWD,19495,CO,lexus,IS,2012,,0,0,auto,AWD,Blue,Black
3229,699193758,45188,Used 2015 Lexus IS 250 Base,6-Speed Automatic | AWD,29999,OR,lexus,IS,2015,,0,0,auto,AWD,Silver,Black
3230,689614217,46154,Used 2014 Lexus IS 250 4DR SPT SDN AWD A,6-Speed Automatic w/OD | AWD,26495,VA,lexus,IS,2014,,0,0,auto,AWD,Ultra White,Parchment
3231,698833766,46464,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,24673,TX,lexus,IS,2014,,0,0,auto,RWD,Gray,
3232,691898856,47617,Used 2012 Lexus IS 250,6 speed automatic | AWD,20500,PA,lexus,IS,2012,,0,0,auto,AWD,Nebula Gray Pearl,Black Leather
3233,697607463,48107,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,20368,TX,lexus,IS,2012,,0,0,auto,RWD,Black,
3234,695456666,48682,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,23788,TX,lexus,IS,2014,,0,0,auto,RWD,Matador Red Mica,Black
3235,696436858,51271,Used 2012 Lexus IS 250C Base,6-Speed Automatic | RWD,15995,UT,lexus,IS,2012,,0,0,auto,RWD,Gray,
3236,698131953,52360,Used 2014 Lexus IS 250 250,6-Speed Automatic w/OD | RWD,23900,TX,lexus,IS,2014,,0,0,auto,RWD,Nebula Gray Pearl,
3237,694805641,58096,Certified 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,27490,IL,lexus,IS,2014,,1,0,auto,AWD,Obsidian Black,Red
3238,696685101,63361,Used 2011 Lexus IS 250,6-Speed Automatic | AWD,19452,IL,lexus,IS,2011,,0,0,auto,AWD,Obsidian Black,Black
3239,656026791,68576,Used 2009 Lexus IS 250,6-Speed Automatic | RWD,13999,GA,lexus,IS,2009,,0,0,auto,RWD,Starfire Pearl,Sterling
3240,696656669,71207,Used 2010 Lexus IS 250,6-Speed Automatic | RWD,15971,TX,lexus,IS,2010,,0,0,auto,RWD,Mercury Metallic,Light Gray
3241,688666567,71836,Used 2010 Lexus IS 250,6-Speed Automatic | RWD,14398,CA,lexus,IS,2010,,0,0,auto,RWD,Smoky Granite Mica,Light Gray
3242,698347698,73603,Used 2012 Lexus IS 250,6-Speed Automatic | RWD,18295,NY,lexus,IS,2012,,0,0,auto,RWD,Blue,
3243,694666178,76333,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,19988,CA,lexus,IS,2012,,0,0,auto,RWD,Root Beer,
3244,652491019,86655,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,11995,FL,lexus,IS,2008,,0,0,auto,RWD,Black,Tan
3245,696584948,89129,Used 2009 Lexus IS 250,6-Speed Automatic | AWD,14495,PA,lexus,IS,2009,,0,0,auto,AWD,White,
3246,698738254,90089,Used 2010 Lexus IS 250,6-Speed Automatic | AWD,14990,IL,lexus,IS,2010,,0,0,auto,AWD,Black,Black
3247,697504109,91825,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,11900,FL,lexus,IS,2007,,0,0,auto,AWD,Cream,Black
3248,700267759,93901,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,12850,TX,lexus,IS,2008,,0,0,auto,RWD,Starfire Pearl,Black
3249,660853455,97393,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,10500,NC,lexus,IS,2006,,0,0,auto,AWD,Green,Tan
3250,690525101,108526,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,10200,MD,lexus,IS,2006,,0,0,auto,AWD,Matador Red Mica,Cashmere
3251,696550410,109330,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,8499,OH,lexus,IS,2006,,0,0,auto,AWD,Gray,
3252,699271845,114914,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,9999,OH,lexus,IS,2008,,0,0,auto,RWD,White,
3253,699923825,115222,Used 2007 Lexus IS 250,6-Speed Automatic | RWD,9900,FL,lexus,IS,2007,,0,0,auto,RWD,Red,Black
3254,700075847,116339,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,11995,NH,lexus,IS,2006,,0,0,auto,AWD,Blue,Beige
3255,697718865,119849,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,18480,CA,lexus,IS,2014,,0,0,auto,RWD,White,
3256,699503678,125860,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,9949,IL,lexus,IS,2006,,0,0,auto,AWD,Smoky Granite,Black
3257,699711176,127120,Used 2007 Lexus IS 250,6-Speed Automatic | RWD,12995,OK,lexus,IS,2007,,0,0,auto,RWD,Black,Black
3258,660686142,128000,Used 2009 Lexus IS 250,6-Speed Automatic | RWD,12995,OK,lexus,IS,2009,,0,0,auto,RWD,Silver,
3259,700549402,129005,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,9990,PA,lexus,IS,2007,,0,0,auto,AWD,Black,Black
3260,697758827,129218,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,9902,NH,lexus,IS,2007,,0,0,auto,AWD,Obsidian Black,Cashmere
3261,695304253,129414,Used 2009 Lexus IS 250,6-Speed Automatic | AWD,9950,VA,lexus,IS,2009,,0,0,auto,AWD,Black,Ecru / Light Brown
3262,697473075,135963,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,9500,IN,lexus,IS,2008,,0,0,auto,AWD,Black,Gray
3263,684450706,136520,Used 2001 Lexus IS 300,5-Speed Automatic | RWD,3950,WI,lexus,IS,2001,,0,0,auto,RWD,Silver,Black
3264,684045411,138169,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,10199,CA,lexus,IS,2008,,0,0,auto,RWD,White,Black
3265,690287201,143198,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,8499,MD,lexus,IS,2007,,0,0,auto,AWD,Glacier Frost Mica,
3266,663664858,151021,Used 2007 Lexus IS 250,6-Speed Automatic | RWD,7995,MI,lexus,IS,2007,,0,0,auto,RWD,Blue,Gray
3267,687815126,164567,Used 2004 Lexus IS 300,5-Speed Automatic | RWD,6999,AZ,lexus,IS,2004,,0,0,auto,RWD,Silver,Black
3268,694502661,173413,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,7995,CA,lexus,IS,2008,,0,0,auto,RWD,Gray,Gray
3269,684625505,176023,Used 2007 Lexus IS 250,6-Speed Manual | RWD,6999,OH,lexus,IS,2007,,0,0,manual,RWD,White,Cashmere
3270,699430410,177765,Used 2007 Lexus IS 250,6-Speed Automatic | RWD,7999,TX,lexus,IS,2007,,0,0,auto,RWD,White,Tan
3271,692735001,0,Used 2001 Lexus IS 300,5-Speed Automatic | RWD,6995,MO,lexus,IS,2001,,0,0,auto,RWD,Silver,Black
3272,690144411,11992,Used 2015 Lexus IS 250,6-Speed Automatic | AWD,26998,OH,lexus,IS,2015,,0,0,auto,AWD,Obsidian Black,Gray
3273,699541378,12693,Used 2012 Lexus IS 250C,6-Speed Automatic | RWD,28994,OK,lexus,IS,2012,,0,0,auto,RWD,White,Gray
3274,699768583,15557,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,32991,TX,lexus,IS,2014,,0,0,auto,RWD,Starfire Pearl,Red
3275,698748417,15592,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33877,CA,lexus,IS,2016,,1,0,auto,RWD,Redline,Black
3276,698747975,16441,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33791,CA,lexus,IS,2016,,1,0,auto,RWD,Redline,Black
3277,698758270,18038,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,32833,TX,lexus,IS,2016,,0,0,auto,RWD,Obsidian Black,Red
3278,692287365,20023,Used 2015 Lexus IS 250 Base,6-Speed Automatic | AWD,31930,PA,lexus,IS,2015,,0,0,auto,AWD,White,Black
3279,696527735,22742,Used 2015 Lexus IS 250,6-Speed Automatic | AWD,29990,MT,lexus,IS,2015,,0,0,auto,AWD,Gray,
3280,685708822,23735,Used 2013 Lexus IS 250C 250 C,6-Speed Automatic | RWD,28499,WA,lexus,IS,2013,,0,0,auto,RWD,Obsidian Black,
3281,700052600,24420,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,26450,CA,lexus,IS,2014,,0,0,auto,RWD,Nebula Gray Pearl,Light Gray
