,capacity,year,dep_rate
197,20,2010,0.251671068945
198,20,2011,0.27254164196
199,20,2013,0.440624540635
200,20,2014,0.491782714403
201,20,2015,0.692835680697
202,20,2016,0.839746235213
203,20,2017,0.868358834244
204,21,1986,0.0806575342466
205,21,1987,0.122159817352
206,21,1989,0.272602739726
207,21,1990,0.119856164384
208,21,1991,0.107671232877
209,21,1995,0.100388127854
210,21,1996,0.163664383562
211,21,1997,0.123429358717
212,21,1998,0.124785958904
213,21,1999,0.0726054362066
214,21,2000,0.0824349253997
215,21,2001,0.095060259162
216,21,2002,0.114000033566
217,21,2003,0.120261415706
218,21,2004,0.134184139433
219,21,2005,0.169411189444
220,21,2006,0.18162825899
221,21,2007,0.210850669693
222,21,2008,0.182622936928
223,21,2009,0.230250619847
224,21,2010,0.250736332086
225,21,2011,0.354025490998
226,21,2012,0.404529163705
227,22,1994,0.14162976085
228,22,1995,0.105431800916
229,22,1997,0.152100738269
230,22,1998,0.0620315795384
231,22,1999,0.119530558016
232,22,2000,0.11531444637
233,22,2001,0.0916684102636
234,22,2002,0.107350033558
235,22,2003,0.148489505654
236,22,2004,0.136591302254
237,22,2005,0.172259181446
238,22,2006,0.146831442268
239,22,2007,0.199239328043
240,22,2008,0.226667383934
241,22,2009,0.262851161408
242,22,2010,0.300007236234
243,22,2011,0.350813508229
244,22,2012,0.395868316926
245,22,2013,0.471010931472
246,22,2014,0.543590091957
247,22,2015,0.673327671645
248,22,2016,0.848336600443
249,22,2017,0.944332256857
250,25,1984,0.0803189561434
251,25,1985,0.07242962426
252,25,1991,0.11613372093
253,25,1992,0.132837984777
254,25,1993,0.236478591857
255,25,1994,0.102090129274
256,25,1995,0.0811284281744
257,25,1996,0.0936269179652
258,25,1997,0.132789658089
259,25,1998,0.0845112963634
260,25,2000,0.0940751480005
261,25,2001,0.0797901506492
262,25,2002,0.106243204059
263,25,2003,0.113879897829
264,25,2004,0.121599975898
265,25,2005,0.127773683266
266,25,2006,0.154781780697
267,25,2008,0.381698371849
268,25,2009,0.384529044118
269,25,2010,0.433179714533
270,25,2011,0.51625
271,25,2012,0.577891743837
272,25,2013,0.456089790865
273,25,2014,0.58554276623
274,25,2016,0.805514982964
275,27,1986,0.193142857143
276,27,1987,0.211428571429
277,27,1989,0.102571428571
278,27,1990,0.125657142857
279,27,1991,0.149348571429
280,27,1999,0.109155749636
281,27,2001,0.119771592665
282,27,2002,0.114585908667
283,27,2003,0.143261107066
284,27,2004,0.21293816036
285,27,2005,0.211235453579
286,27,2006,0.215534523493
287,27,2007,0.192015686124
288,27,2008,0.21649977046
289,27,2009,0.240649163996
290,27,2010,0.289202069559
291,27,2011,0.329617910131
292,27,2012,0.379193269136
293,27,2013,0.448298725452
294,27,2014,0.628966717462
295,27,2015,0.758711514141
296,27,2016,0.859797300139
297,27,2017,1.27506280338
298,30,1992,0.104998521148
299,30,1994,0.0590949423248
300,30,1995,0.0325347530316
301,30,1997,0.0582519964507
302,30,2001,0.0553403473191
303,30,2002,0.0601892931085
304,30,2003,0.0782564742965
305,30,2004,0.0639623385586
306,30,2005,0.125582025904
307,30,2006,0.151560868492
308,30,2007,0.152212826194
309,30,2008,0.166051753953
310,30,2009,0.244075770192
311,30,2010,0.287434450109
312,30,2011,0.306727757381
313,30,2012,0.33809894115
314,30,2013,0.452860963402
315,30,2014,0.531152030217
316,30,2015,0.581073377968
317,30,2016,0.823349107759
318,31,2007,0.191743988558
319,31,2008,0.239010834426
320,31,2009,0.281125809254
321,31,2010,0.321595632489
322,31,2011,0.372843017907
323,31,2012,0.436271650144
324,31,2013,0.49985271971
325,31,2014,0.638702567935
326,31,2015,0.743846425541
327,31,2016,0.888274578243
328,32,2006,0.109637213443
329,32,2007,0.153164675916
330,32,2008,0.133501001558
331,32,2009,0.216981971956
332,32,2010,0.238582980933
333,32,2011,0.262397062096
334,32,2012,0.269865717041
335,32,2015,0.674902069887
