,gearbox,year,dep_rate
0,CVT,2004,0.950925449871
1,CVT,2011,0.385567567568
2,CVT,2013,0.662810780652
3,CVT,2014,0.670742269144
4,CVT,2015,0.767859641754
5,CVT,2016,0.888359221847
6,CVT,2017,0.938948614262
7,auto,1978,0.239819004525
8,auto,1983,0.21728226817
9,auto,1984,0.11035150225
10,auto,1985,0.252837243633
11,auto,1986,0.113336519381
12,auto,1987,0.194366515301
13,auto,1988,0.127020569948
14,auto,1989,0.13312372097
15,auto,1990,0.11282069117
16,auto,1991,0.118296910102
17,auto,1992,0.15460107113
18,auto,1993,0.151707177175
19,auto,1994,0.162294460269
20,auto,1995,0.182012997023
21,auto,1996,0.115336683293
22,auto,1997,0.131816822874
23,auto,1998,0.102622600087
24,auto,1999,0.141036596887
25,auto,2000,0.130752762108
26,auto,2001,0.143417959325
27,auto,2002,0.155492575917
28,auto,2003,0.165045085033
29,auto,2004,0.181664554892
30,auto,2005,0.202434079274
31,auto,2006,0.228384278268
32,auto,2007,0.2448900546
33,auto,2008,0.267419265243
34,auto,2009,0.312468917723
35,auto,2010,0.334884273691
36,auto,2011,0.379281550051
37,auto,2012,0.448584549284
38,auto,2013,0.53955424393
39,auto,2014,0.633829745411
40,auto,2015,0.751097447803
41,auto,2016,0.881145592762
42,auto,2017,1.06220746052
43,auto|manual,2003,0.509460620525
44,auto|manual,2004,0.163651241022
45,auto|manual,2005,0.172224214785
46,auto|manual,2006,0.267921869014
47,auto|manual,2007,0.845781967609
48,auto|manual,2008,0.301943593121
49,auto|manual,2009,0.283854166667
50,auto|manual,2010,0.318625498008
51,auto|manual,2011,0.37782377392
52,auto|manual,2012,0.488115318929
53,auto|manual,2013,0.553561544869
54,auto|manual,2014,0.527563478879
55,auto|manual,2015,0.761619126732
56,auto|manual,2016,0.83249764298
57,auto|manual,2017,1.04673360161
58,manual,1978,0.452187028658
59,manual,1987,0.225681561542
60,manual,1988,0.0375939849624
61,manual,1989,0.191966446201
62,manual,1991,0.63277284264
63,manual,1992,0.209711243749
64,manual,1995,0.125794037954
65,manual,1996,0.120529862026
66,manual,1997,0.135368044675
67,manual,1998,0.133438889467
68,manual,1999,0.154279984628
69,manual,2000,0.148473494251
70,manual,2001,0.161116165436
71,manual,2002,0.164052070489
72,manual,2003,0.170679249495
73,manual,2004,0.216891171382
74,manual,2005,0.242269979466
75,manual,2006,0.235019834311
76,manual,2007,0.257244223931
77,manual,2008,0.277049845789
78,manual,2009,0.331917288108
79,manual,2010,0.342184672496
80,manual,2011,0.380860050115
81,manual,2012,0.482612333106
82,manual,2013,0.611627790415
83,manual,2014,0.666516225139
84,manual,2015,0.739908689243
85,manual,2016,0.921534613991
86,manual,2017,1.05610283251
