price_tag,price,org_price
BMW_7_2016_3.0,93693,
BMW_7_2015_4.4,75449,
BMW_7_2015_3.0,69988,
BMW_7_2014_6.0,85000,
BMW_7_2014_4.4,82503,
BMW_7_2014_3.0,56999,
BMW_7_2013_6.0,79800,
BMW_7_2013_4.4,51488,
BMW_7_2013_3.0,47880,
BMW_7_2012_6.0,48988,
BMW_7_2012_4.4,41989,
BMW_7_2012_3.0,37555,
BMW_7_2011_6.0,42888,
BMW_7_2011_4.4,39880,
BMW_7_2011_3.0,36995,
BMW_7_2010_6.0,52880,
BMW_7_2010_4.4,49999,
BMW_7_2009_4.4,86995,
BMW_7_2008_6.0,20995,
BMW_7_2008_4.4,78980,
BMW_7_2007_4.4,24800,
BMW_7_2006_6.0,26000,
BMW_7_2006_4.4,109500,
BMW_7_2005_6.0,13995,
BMW_7_2005_4.4,69988,
BMW_7_2004_6.0,8995,
BMW_7_2004_4.4,13950,
BMW_7_2003_6.0,15995,
BMW_7_2003_4.4,22999,
BMW_7_2002_4.4,15950,
BMW_7_2001_4.4,10900,
BMW_7_2000_4.4,62999,
BMW_7_1999_4.4,4900,
BMW_7_1998_4.4,5999,
BMW_7_1997_4.4,12000,
BMW_7_1996_4.4,33750,
BMW_7_1995_4.4,7999,
BMW_7_1994_4.4,5495,
BMW_5_2017_4.4,77211,
BMW_5_2017_3.0,75695,
BMW_5_2016_4.4,80777,
BMW_5_2016_3.0,73607,
BMW_5_2016_2.0,61644,
BMW_5_2015_4.4,55982,
BMW_5_2015_3.0,58488,
BMW_5_2015_2.0,48988,
BMW_5_2014_4.4,69995,
BMW_5_2014_3.0,50450,
BMW_5_2014_2.0,56325,
BMW_5_2013_4.4,48990,
BMW_5_2013_3.0,42992,
BMW_5_2013_2.0,33995,
BMW_5_2012_4.4,35995,
BMW_5_2012_3.0,35788,
BMW_5_2012_2.0,49995,
BMW_5_2011_4.4,43995,
BMW_5_2011_3.0,48987,
BMW_5_2011_2.0,27900,
BMW_5_2010_4.4,26991,
BMW_5_2010_3.0,23690,
BMW_5_2010_2.0,19995,
BMW_5_2009_4.4,22910,
BMW_5_2009_3.0,60975,
BMW_5_2009_2.0,45900,
BMW_5_2008_4.4,23900,
BMW_5_2008_3.0,25500,
BMW_5_2008_2.0,35710,
BMW_5_2007_4.4,38890,
BMW_5_2007_3.0,27995,
BMW_5_2007_2.5,12995,
BMW_5_2006_4.4,13999,
BMW_5_2006_3.0,19981,
BMW_5_2006_2.5,12988,
BMW_5_2005_4.4,22000,
BMW_5_2005_3.0,10995,
BMW_5_2005_2.5,9999,
BMW_5_2004_4.4,11995,
BMW_5_2004_3.0,48000,
BMW_5_2004_2.5,10000,
BMW_5_2003_4.4,13995,
BMW_5_2003_3.0,9999,
BMW_5_2003_2.5,9999,
BMW_5_2002_4.4,9995,
BMW_5_2002_3.0,8999,
BMW_5_2002_2.5,6999,
BMW_5_2001_4.4,7999,
BMW_5_2001_3.0,11995,
BMW_5_2001_2.5,64420,
BMW_5_2000_4.4,16388,
BMW_5_2000_2.0,7995,
BMW_5_1999_4.4,8995,
BMW_5_1999_2.0,4495,
BMW_5_1998_4.4,4990,
BMW_5_1998_2.0,4995,
BMW_5_1997_4.4,12000,
BMW_5_1997_2.0,4995,
BMW_5_1995_4.4,6795,
BMW_5_1995_3.0,6995,
BMW_5_1995_2.5,4500,
BMW_5_1994_4.4,7995,
BMW_5_1994_2.5,4900,
BMW_5_1993_2.5,2995,
BMW_5_1992_2.5,2399,
BMW_5_1991_2.5,2995,
BMW_5_1989_2.5,2488,
BMW_5_1988_3.0,1700,
BMW_5_1988_2.0,4000,
BMW_3_2017_3.0,59800,
